t_step,wall_time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_wz,roll,pitch,abs_roll,abs_pitch,force_L,force_R,force
1844,37.376750230789185,0.5,0.0,0.0,0.2346876710653305,-0.24450086057186127,-0.08200240880250931,3.11380934715271,0.027885066345334053,3.11380934715271,0.027885066345334053,157.73252868652344,0.0,0.0
1845,37.40638494491577,0.5,0.0,0.0,0.25079435110092163,-0.2667054235935211,-0.027865305542945862,3.117070198059082,0.02321861870586872,3.117070198059082,0.02321861870586872,141.49754333496094,134.54080200195312,0.0
1846,37.41754603385925,0.5,0.0,0.0,0.26390767097473145,-0.2737469971179962,-0.08096566796302795,3.1266164779663086,0.016177598387002945,3.1266164779663086,0.016177598387002945,123.1617202758789,182.3400115966797,0.0
1847,37.44866180419922,0.5,0.0,0.0,0.273405522108078,-0.25447016954421997,-0.12189561873674393,-3.141522169113159,0.014634782448410988,3.141522169113159,0.014634782448410988,24.244586944580078,208.7595672607422,0.0
1848,37.4611394405365,0.5,0.0,0.0,0.2827441990375519,-0.20854465663433075,-0.1580631136894226,-3.13102388381958,0.01386871188879013,3.13102388381958,0.01386871188879013,0.0,213.8427734375,0.0
1849,37.4881865978241,0.5,0.0,0.0,0.2996619641780853,-0.16597922146320343,-0.14342324435710907,-3.1292598247528076,0.007964562624692917,3.1292598247528076,0.007964562624692917,0.0,190.02032470703125,0.0
1850,37.49953317642212,0.5,0.0,0.0,0.3168082535266876,-0.13247717916965485,-0.040038153529167175,-3.132146120071411,0.0001592788757989183,3.132146120071411,0.0001592788757989183,0.0,180.6400146484375,0.0
1851,37.52615714073181,0.5,0.0,0.0,0.3366454541683197,-0.1042204275727272,0.1026013195514679,-3.1358323097229004,-0.004033135250210762,3.1358323097229004,0.004033135250210762,0.0,180.54092407226562,0.0
1852,37.537272691726685,0.5,0.0,0.0,0.35932379961013794,-0.07845010608434677,0.20648613572120667,-3.1376419067382812,-0.005021447781473398,3.1376419067382812,0.005021447781473398,0.0,190.97964477539062,0.0
1853,37.563658475875854,0.5,0.0,0.0,0.3801786005496979,-0.052396584302186966,0.21622195839881897,-3.136504650115967,-0.004874430131167173,3.136504650115967,0.004874430131167173,0.0,193.80931091308594,0.0
1854,37.57655334472656,0.5,0.0,0.0,0.39871418476104736,-0.024757059291005135,0.18633723258972168,-3.1347298622131348,-0.00463930843397975,3.1347298622131348,0.00463930843397975,0.0,191.44183349609375,0.0
1855,37.60295820236206,0.5,0.0,0.0,0.42155224084854126,0.0010709313210099936,0.16076348721981049,-3.1350109577178955,-0.003703557187691331,3.1350109577178955,0.003703557187691331,0.0,184.55874633789062,0.0
1856,37.61517310142517,0.5,0.0,0.0,0.44704434275627136,0.02445213310420513,0.12781310081481934,-3.13615083694458,-0.0032856508623808622,3.13615083694458,0.0032856508623808622,0.0,169.7274932861328,0.0
1857,37.64280104637146,0.5,0.0,0.0,0.46940842270851135,0.04509817436337471,0.08274801820516586,-3.138522148132324,-0.002492809435352683,3.138522148132324,0.002492809435352683,0.0,148.4309844970703,0.0
1858,37.6540789604187,0.5,0.0,0.0,0.4448871612548828,0.07902056723833084,0.19100576639175415,3.1386830806732178,0.0021855835802853107,3.1386830806732178,0.0021855835802853107,497.8849792480469,127.49514770507812,0.0
1859,37.68160033226013,0.5,0.0,0.0,0.4808942377567291,0.06200452148914337,0.3156081736087799,3.132582426071167,0.0017787879332900047,3.132582426071167,0.0017787879332900047,195.72007751464844,82.67196655273438,0.0
1860,37.69311594963074,0.5,0.0,0.0,0.4677409529685974,0.031264450401067734,0.26999521255493164,3.1310195922851562,0.0034561713691800833,3.1310195922851562,0.0034561713691800833,233.76010131835938,3.6865274906158447,0.0
1861,37.72093605995178,0.5,0.0,0.0,0.44449809193611145,-0.00898862536996603,0.05807510018348694,3.1296753883361816,0.012298444285988808,3.1296753883361816,0.012298444285988808,218.69273376464844,0.0,0.0
1862,37.73234748840332,0.5,0.0,0.0,0.4353278577327728,-0.040390048176050186,-0.08155781775712967,3.1245203018188477,0.02282428927719593,3.1245203018188477,0.02282428927719593,200.90267944335938,0.0,0.0
1863,37.75930666923523,0.5,0.0,0.0,0.4356205463409424,-0.0674351155757904,-0.09649481624364853,3.116455316543579,0.031752415001392365,3.116455316543579,0.031752415001392365,190.30169677734375,0.0,0.0
1864,37.77078056335449,0.5,0.0,0.0,0.44088971614837646,-0.0950237438082695,-0.03997703641653061,3.1093039512634277,0.03825407847762108,3.1093039512634277,0.03825407847762108,188.57598876953125,0.0,0.0
1865,37.79927086830139,0.5,0.0,0.0,0.4496610164642334,-0.12365620583295822,0.032208435237407684,3.106257915496826,0.04177039861679077,3.106257915496826,0.04177039861679077,190.94131469726562,0.0,0.0
1866,37.81067752838135,0.5,0.0,0.0,0.4602309763431549,-0.15313968062400818,0.03986119106411934,3.1064436435699463,0.04193665087223053,3.1064436435699463,0.04193665087223053,183.51780700683594,0.0,0.0
1867,37.83823323249817,0.5,0.0,0.0,0.4701889455318451,-0.1802474409341812,-0.036164604127407074,3.1070196628570557,0.039313774555921555,3.1070196628570557,0.039313774555921555,165.22625732421875,0.0,0.0
1868,37.84965109825134,0.5,0.0,0.0,0.47846147418022156,-0.20173963904380798,-0.09564438462257385,3.1059038639068604,0.0345454066991806,3.1059038639068604,0.0345454066991806,146.5823211669922,0.0,0.0
1869,37.87797951698303,0.5,0.0,0.0,0.4835928976535797,-0.21854469180107117,-0.06822796165943146,3.1044721603393555,0.030574431642889977,3.1044721603393555,0.030574431642889977,129.7274169921875,0.0,0.0
1870,37.889535427093506,0.5,0.0,0.0,0.49259477853775024,-0.24181407690048218,0.00662788562476635,3.1078882217407227,0.03137058764696121,3.1078882217407227,0.03137058764696121,140.847412109375,141.69961547851562,0.0
1871,37.91732931137085,0.5,0.0,0.0,0.5052564740180969,-0.24371518194675446,-0.1248248741030693,3.1148712635040283,0.02474818006157875,3.1148712635040283,0.02474818006157875,103.3704605102539,174.2634735107422,0.0
1872,37.9284565448761,0.5,0.0,0.0,0.48881402611732483,-0.21608306467533112,-0.13013650476932526,3.1219100952148438,0.021568460389971733,3.1219100952148438,0.021568460389971733,17.642704010009766,226.19985961914062,0.0
1873,37.95470333099365,0.5,0.0,0.0,0.4652142822742462,-0.16187115013599396,-0.02583407796919346,3.1248483657836914,0.026184750720858574,3.1248483657836914,0.026184750720858574,0.0,257.0959777832031,0.0
1874,37.96614074707031,0.5,0.0,0.0,0.46918079257011414,-0.11527963727712631,0.034167226403951645,3.1207003593444824,0.030422735959291458,3.1207003593444824,0.030422735959291458,0.0,248.23150634765625,0.0
1875,37.99375557899475,0.5,0.0,0.0,0.4837879538536072,-0.07783538848161697,0.012603288516402245,3.1131203174591064,0.027712799608707428,3.1131203174591064,0.027712799608707428,0.0,237.49618530273438,0.0
1876,38.00515174865723,0.5,0.0,0.0,0.4943011999130249,-0.04313218593597412,0.006150600500404835,3.105595111846924,0.019468318670988083,3.105595111846924,0.019468318670988083,0.0,199.1106414794922,0.0
1877,38.03347420692444,0.5,0.0,0.0,0.4966886043548584,-0.008415203541517258,0.09810817986726761,3.1003260612487793,0.01066317968070507,3.1003260612487793,0.01066317968070507,0.0,182.6582794189453,0.0
1878,38.04451656341553,0.5,0.0,0.0,0.49966904520988464,0.021014174446463585,0.2270779311656952,3.098841905593872,0.004638522397726774,3.098841905593872,0.004638522397726774,0.0,169.55172729492188,0.0
1879,38.07290291786194,0.5,0.0,0.0,0.505007803440094,0.04701413959264755,0.3509487807750702,3.10251784324646,0.0009988867677748203,3.10251784324646,0.0009988867677748203,0.0,164.3629150390625,0.0
1880,38.084160804748535,0.5,0.0,0.0,0.5115369558334351,0.07221530377864838,0.4453679025173187,3.110703945159912,-0.0015428598271682858,3.110703945159912,0.0015428598271682858,0.0,159.767333984375,0.0
1881,38.11138033866882,0.5,0.0,0.0,0.5145114064216614,0.0969230905175209,0.43247586488723755,3.1210756301879883,-0.0027339616790413857,3.1210756301879883,0.0027339616790413857,0.0,161.24551391601562,0.0
1882,38.122363567352295,0.5,0.0,0.0,0.5153872966766357,0.12181802839040756,0.2834533452987671,3.129223585128784,0.0006080753519199789,3.129223585128784,0.0006080753519199789,0.0,151.0354461669922,0.0
1883,38.149930238723755,0.5,0.0,0.0,0.5187851190567017,0.14241920411586761,0.09843193739652634,3.131606340408325,0.010553070344030857,3.131606340408325,0.010553070344030857,0.0,138.67701721191406,0.0
1884,38.16131353378296,0.5,0.0,0.0,0.5032783150672913,0.15805231034755707,0.14162199199199677,3.126523494720459,0.02202734164893627,3.126523494720459,0.02202734164893627,168.66403198242188,92.90617370605469,0.0
